epoch,x1,x2,y_desired,y_actual,error,w1_before,w2_before,w1_after,w2_after
1,0,0,0,0,0,0.3,-0.1,0.3,-0.1
1,0,1,0,0,0,0.3,-0.1,0.3,-0.1
1,1,0,0,1,-1,0.3,-0.1,0.19999999999999998,-0.1
1,1,1,1,0,1,0.19999999999999998,-0.1,0.3,0.0
2,0,0,0,0,0,0.3,0.0,0.3,0.0
2,0,1,0,0,0,0.3,0.0,0.3,0.0
2,1,0,0,1,-1,0.3,0.0,0.19999999999999998,0.0
2,1,1,1,0,1,0.19999999999999998,0.0,0.3,0.1
3,0,0,0,0,0,0.3,0.1,0.3,0.1
3,0,1,0,0,0,0.3,0.1,0.3,0.1
3,1,0,0,1,-1,0.3,0.1,0.19999999999999998,0.1
3,1,1,1,1,0,0.19999999999999998,0.1,0.19999999999999998,0.1
4,0,0,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
4,0,1,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
4,1,0,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
4,1,1,1,1,0,0.19999999999999998,0.1,0.19999999999999998,0.1
5,0,0,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
5,0,1,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
5,1,0,0,0,0,0.19999999999999998,0.1,0.19999999999999998,0.1
5,1,1,1,1,0,0.19999999999999998,0.1,0.19999999999999998,0.1
